price,location,area,year,rooms,level,state
355000,5,25.44,2019,2,1,1
355000,5,25.37,2019,2,1,1
358000,5,27.0,2020,1,5,1
359000,5,34.04,1914,1,4,2
359000,5,44.15,2020,2,2,1
359000,5,44.06,2020,2,2,1
360000,5,30.0,2011,1,5,2
360000,5,34.0,1943,1,0,0
360000,5,30.0,2011,1,5,2
361400,5,26.0,1930,1,0,2
363978,5,33.24,2021,2,2,1
365000,5,36.32,1975,2,1,2
369000,5,27.29,2019,2,3,1
369645,5,38.91,2021,2,0,1
375000,5,30.0,2018,1,2,2
376933,5,41.65,2021,2,0,1
377115,5,40.55,2021,2,0,1
379900,5,40.0,2021,2,5,1
380000,5,32.57,2014,1,0,2
380000,5,27.55,1945,1,2,1
385000,5,28.1,2015,1,3,2
388600,5,29.0,2022,2,0,1
388600,5,29.0,2022,1,0,1
390000,5,37.0,1968,2,1,2
390000,5,39.32,2021,2,2,1
391720,5,28.0,2022,1,4,1
391720,5,28.0,2022,1,4,1
391720,5,28.0,2021,2,4,1
392000,5,32.0,2010,1,1,2
395000,5,28.42,2019,1,3,1
395300,5,29.5,2020,2,0,1
397498,5,27.34,2019,1,0,2
217000,5,21.7,2020,1,0,1
339900,5,30.0,1990,1,5,2
399000,5,37.4,1975,1,4,0
399000,5,29.3,2020,2,4,2
399000,5,41.31,2021,2,3,1
401900,5,43.0,2021,2,1,1
409000,5,35.36,1930,2,2,1
409990,5,35.36,1930,2,2,2
410000,5,29.45,2019,1,4,1
415000,5,38.0,1980,2,2,2
415000,5,38.0,2006,1,0,2
415900,5,44.94,2021,3,1,1
420000,5,30.16,2018,1,2,2
422370,5,44.46,2021,3,6,1
425000,5,38.0,1960,2,1,2
425000,5,35.0,2017,2,2,2
429000,5,47.21,1914,1,4,2
429000,5,32.0,1930,1,3,2
430000,5,38.0,2000,1,0,2
432000,5,37.5,1964,1,2,0
435000,5,37.5,1964,1,2,0
439000,5,48.6,1966,2,3,0
440000,5,34.37,2015,1,0,2
440000,5,34.37,2015,1,0,2
440000,5,32.0,2020,2,1,1
442000,5,58.0,2020,3,1,1
444110,5,49.9,2021,3,0,1
444500,5,35.0,2022,2,1,1
445000,5,52.0,2021,3,0,1
445000,5,33.55,1930,1,3,2
446125,5,35.69,2019,2,1,1
448000,5,35.0,2021,2,2,1
448780,5,53.11,2021,3,0,1
450000,5,49.5,1970,3,9,0
450000,5,37.0,1978,2,3,2
451994,5,35.41,2019,2,1,2
453692,5,57.91,2020,3,3,1
454277,5,51.91,2021,3,5,1
455000,5,35.0,2022,2,4,1
455000,5,40.5,1976,2,6,2
456095,5,48.01,2021,3,1,1
459000,5,53.0,1974,3,10,2
310000,5,26.0,1974,1,2,2
520000,5,60.0,2006,2,7,2
600000,5,46.0,2009,2,1,2
1620000,5,111.68,2019,4,3,1
1650000,5,200.0,1919,6,0,0
1696500,5,135.72,1935,4,1,2
1870000,5,142.0,2019,5,3,1
2390000,5,150.0,1930,5,1,2
6299000,5,442.2,2017,10,4,2
359000,8,44.0,1971,2,3,2
429000,8,48.32,1958,2,0,2
499000,7,67.0,2020,4,3,1
398000,7,51.0,2020,3,0,1
509000,7,67.3,2020,3,4,1
514437,7,66.81,2020,4,7,1
539000,8,76.38,2021,3,1,1
469000,8,58.0,2021,3,0,1
446000,8,50.9,1980,3,3,2
910000,8,57.0,2020,3,3,2
550000,8,48.0,2015,2,7,2
320000,8,39.0,1950,2,1,2
399999,7,47.6,1974,3,2,2
310000,8,36.0,1965,2,9,0
265000,8,32.0,1965,2,2,0
219000,8,27.69,1955,1,3,2
370000,8,52.0,1970,2,0,0
472875,8,64.78,2022,3,1,1
395588,8,44.2,2022,2,4,1
315000,8,36.0,2000,1,4,2
530000,7,48.5,2020,3,5,2
655000,7,66.0,2020,4,1,2
485000,8,50.0,2009,3,1,2
430000,8,47.68,1960,3,3,2
468000,7,60.0,1970,3,3,0
629000,7,63.0,2020,3,1,2
426666,8,41.83,2022,3,1,1
320892,8,31.46,2022,2,1,1
487000,8,60.4,1982,3,0,2
487000,8,60.4,1982,3,0,2
535000,8,51.89,2019,2,3,2
290000,8,31.0,1970,2,0,2
499000,7,56.0,1970,4,3,2
560000,8,85.0,1960,3,2,2
239000,8,21.77,1985,1,9,2
606606,8,83.1,2022,4,1,1
408317,8,52.35,2022,3,0,1
375724,8,42.22,2022,2,1,1
395588,8,44.2,2022,2,4,1
388952,8,44.2,2022,2,0,1
476094,8,64.78,2022,3,2,1
379000,8,57.0,1976,3,4,2
549000,7,64.0,1990,3,3,2
499000,8,55.0,1960,3,3,2
560000,8,85.0,1960,3,2,2
365000,7,50.3,1975,3,2,0
365000,7,50.3,1975,3,2,0
458000,8,56.66,1999,2,2,2
305000,7,31.5,2020,2,1,1
550000,8,64.0,1989,3,6,2
395000,8,45.51,1953,2,0,2
525096,7,72.93,2021,4,7,1
379800,7,50.64,2021,3,2,1
445519,7,61.03,2021,3,6,1
301410,7,33.49,2021,2,5,1
341615,7,40.19,2021,2,8,1
269010,7,29.89,2021,1,8,1
655000,8,69.0,2020,3,1,2
570000,7,63.0,1982,3,0,2
699000,7,72.31,2020,4,1,2
439700,8,46.5,2012,2,6,2
410000,8,47.89,1956,2,3,2
332316,8,32.58,2022,2,1,1
365000,8,51.0,1980,3,2,0
590000,8,63.0,1953,3,3,2
745000,8,76.0,1961,3,5,2
469000,7,47.24,2018,2,0,2
364200,7,36.42,2018,2,9,2
360000,8,46.0,1975,3,2,2
425000,8,54.0,1985,2,7,2
515964,7,67.89,2020,3,5,1
410000,8,48.0,1956,2,3,2
431357,7,59.09,2020,3,2,1
415000,8,40.0,1954,2,3,2
595000,7,59.0,2020,3,0,2
359000,8,44.0,1971,2,3,2
350000,8,49.5,1950,2,2,0
400000,8,40.0,1954,2,3,2
329000,8,29.38,2017,1,5,2
595000,8,59.0,2017,3,4,2
419000,8,47.9,1956,2,3,2
569000,8,74.39,2000,3,0,2
345000,8,33.33,1953,2,3,2
415000,8,40.0,1954,2,3,2
390000,8,48.0,1950,3,2,2
520870,7,79.54,2022,4,1,1
399000,8,49.46,2021,2,0,1
439000,8,56.31,2021,2,0,1
399000,8,49.46,2021,2,4,1
299000,8,32.67,2021,1,5,1
299000,8,32.67,2021,1,0,1
305000,7,31.48,2020,1,2,1
832195,7,91.45,2020,4,9,1
548760,7,64.56,2020,3,2,1
594080,7,75.2,2020,4,2,1
476862,7,53.58,2020,3,1,1
386163,7,36.09,2020,2,9,1
404616,7,43.98,2020,2,2,1
267456,7,27.86,2020,1,4,1
301410,7,33.49,2022,2,5,1
461760,7,62.4,2022,4,3,1
346205,7,40.73,2022,2,1,1
402979,7,51.01,2022,3,4,1
497002,7,60.61,2020,3,8,1
520494,7,66.73,2020,3,3,1
349000,8,51.13,1960,3,4,0
619000,8,70.0,2011,3,4,2
360000,8,43.0,1973,2,0,2
353803,8,35.03,2022,2,1,1
360000,8,38.0,1978,2,4,2
799000,8,69.0,2019,5,2,2
259000,7,30.57,1973,1,4,2
435000,7,51.0,2020,3,2,1
335000,8,46.5,1955,2,2,0
519000,7,63.0,1988,3,3,2
544000,8,64.0,1989,3,0,2
439000,8,50.0,1960,3,0,2
530000,7,48.25,2020,3,1,2
